
id	media_type	comment_count	media_like_count	product_type	media_text	media_created_at
2543556366295063689_6323132732	8	1	212	carousel_container	📌 2 апреля активные студенты клуба «SANALY URPAQ» Есеновского университета в рамках проекта «Сознательное поколение» организовали челлендж «Будь честным», «Не давай взяток» с целью развития антикоррупционного поведения, нетерпимости. коррупции в образовании, организует и отправляет этот вызов другим факультетам университета. ———— 📌2 апреля активные студенты Клуба «САНАЛИ УРПАК» Есенова Университета в рамках проекта «Саналы Урпак» по формированию у молодежи навыков антикоррупционного поведения, нетерпимости к проявлениям коррупции в образовательной сфере. процесс »И передайте это задание студентам других факультетов вуза.	1617435606
2543113179857217595_6323132732	2	23	359	кормить	🔷Вы выпускник 11 класса? Тогда мы дадим вам возможность бесплатно учиться в университете! Для этого примите участие в нашей республиканской предметной олимпиаде и выиграйте один из 60 образовательных грантов в Есеновском университете в Актау, на побережье Каспийского моря! При первой возможности нажмите https://olimp.yu.edu.kz и оставьте заявку до 9 апреля! Ждем вас! 💙 ———— 🔷 Вы выпускник 11 класса? Тогда мы дадим вам возможность бесплатно учиться в нашем высшем учебном заведении! Для этого примите участие в нашей республиканской предметной олимпиаде и выиграйте один из 60 образовательных грантов в Есеновском университете, расположенном на берегу Каспийского моря в городе Актау! До встречи по ссылке https://olimp.yu.edu.kz и оставьте заявку до 9 апреля! Ждем вас! 💙	1617386208
2543066644107819090_6323132732	8	3	264	carousel_container	«1 апреля состоялось собрание членов клуба« САНАЛИ УРПАК »Есеновского университета. В ходе встречи обсуждена реализация комплексного плана работы, согласованного с Управлением Агентства по противодействию коррупции Республики Казахстан по Мангистауской области. ———— 📌 1 апреля в Есеновском университете прошло собрание членов клуба «САНАЛИ УРПАК». В ходе встречи были обсуждены результаты реализации комплексного плана работы, согласованного с Управлением Агентства Республики Казахстан по противодействию коррупции в Мангистауской области.	1617377190
2541615408733007845_6323132732	8	8	197	carousel_container	Вниманию выпускников школ и колледжей !!! ✅ Если вы хотите получить 100% бесплатную стипендию на обучение в вузе ... ✅ Если у вас есть отличная бизнес-идея, сообщаем вам о старте республиканского конкурса стартап-проектов «Jas kasipker 2021». Есеновского университета. Цель конкурса - повысить предпринимательскую активность молодежи региона, предоставить возможность молодым людям представить свои стартап-идеи и получить бесплатное образование в университете. В конкурсе могут принять участие учащиеся 11 классов и выпускники колледжей. На конкурс принимаются стартап-проекты по следующим направлениям: - IT-технологии - Туризм и услуги - Агробизнес - Научные инновации - Здоровье, Медицина - Экология - Социальный проект - Образование и развитие поколений - Творчество и ремесла Этапы конкурса: - Онлайн-регистрация - до 12 апреля через сайт https://startup.yu.edu.kz; - Отправьте видео - 20 апреля на startup@yu.edu.kz - Отбор проектов - 20-23 апреля - Финал - 28-29 апреля 2021 г. Победители конкурса получат ОБРАЗОВАТЕЛЬНЫЕ ГРАНТЫ УНИВЕРСИТЕТА ЕСЕНОВА. Участие в конкурсе бесплатное! подробная информация: +7701 0924414 сайт: https://startup.yu.edu.kz	1617204220
2541358352096801554_6323132732	1	2	166	кормить	«31 марта в 16:00 ректор Есеновского университета проведет прямой эфир с аспирантами. Трансляция состоится на нашей официальной странице в инстаграмм! ———— ⚡ 31 марта в 16:00 состоится прямая трансляция выступления ректора Есеновского университета со студентами аспирантуры. Трансляция будет доступна на нашей официальной странице в Instagram!	1617173545
2540293470723042012_6323132732	1	0	114	кормить	📌 30 марта в 15.00 кафедра экологии и геологии Ессеновского университета проведет онлайн-встречу «Сознательное поколение» совместно с Управлением Антикоррупционного агентства Мангистауской области. Гости встречи: Начальник управления Агентства по противодействию коррупции по Мангистауской области Байгебаев Кайрат Оразбекович Член информационно-просветительского штаба Парманкулов Мурат Жаксылыкович. 📆Дата: 30 марта 🕒Время: 15:00 ———— 📌 30 марта кафедра «Экология и геология» Есеновского университета совместно с кафедрой Агентства по противодействию коррупции Мангистауской области проведут онлайн-встречу «Сознательное поколение. ". Встреча с гостями: Начальник Управления по противодействию коррупции Мангистауской области Байгебаев Кайрат Оразбекович Сотрудник отдела информационного просвещения Парманкулов Мурат Жаксылыкович. 📆Дата проведения: 30 марта 🕒Время: 15:00	1617047986
2540082106087950034_6323132732	8	13	241	carousel_container	28 марта пришло известие о смерти профессора Кенжетаева Гусмана Жардемовича с кафедры экологии и геологии Есеновского университета. Кенжетаев Гусман Жардемович - 1950 года рождения. Ученый, доктор технических наук, профессор, заслуженный деятель экологии региона, автор ряда исследований. В декабре прошлого года в честь 70-летия дяди прошла международная конференция и открылся «Кабинет имени Кенжетаева». Гусман Жардемович - умный человек, внесший весомый вклад в развитие педагогики и науки нашего региона. Хотя он умер, люди все еще помнят, что он делал для образования. Кстати, учитель ассоциируется с потомством, учитель - с учеником, и за свою большую карьеру он смог обучить многих учеников и познакомить их с областью науки. Гусман Жардемович был верен Есеновскому университету, всемерно помогал и поддерживал своих студентов. Наше горе неописуемо. Выражаем искренние соболезнования родным и близким, родным и близким и ученикам профессора. Имя лучшего останется, письмо ученого останется навсегда! ————— 28 марта поступило сообщение о смерти профессора кафедры экологии и геологии Есеновского университета Кенжетаевой Гусмана Жардемовича. Гусман Жардемович - мудрая личность, внесшая особый вклад в развитие педагогики и науки региона. Он ушел из жизни, но дела, которые он делал для сферы образования, остались в памяти народа. Кенжетаев Гусман Жардемович 1950 года рождения. Ученый, доктор технических наук, профессор, заслуженный деятель экологии нашего региона, автор ряда исследований. В декабре прошлого года по случаю его 70-летия прошла международная конференция, на которой состоялось открытие «Кабинета министров имени Кенжетаева». Своим благородным поиском он обучил многих студентов наукам. Гусман Жардемович был верен Есеновскому университету, всемерно помогал и поддерживал своих студентов. Невозможно передать словами нашу печаль. Выражаем искренние соболезнования родным, близким, родным, студентам и профессорам. Мы уверены, что имя и вклад ученого останутся вечными!	1617021406
2537910369556381309_6323132732	8	3	165	carousel_container	📌 25 марта в Есеновском университете состоялась встреча с г-ном Тимуджином Дишем, руководителем отдела кадров Rixos Hotels в Турции. В ходе встречи стороны обсудили развитие двух дипломных программ по образовательной программе «Ресторанный и гостиничный менеджмент» и налаживание партнерских отношений с турецким университетом «Antalya Bilim University». В рамках этого проекта планируется, что 200 талантливых студентов из Казахстана получат возможность бесплатно учиться в Турции при финансовой поддержке отеля Rixos. ————— 25 марта в Есеновском университете прошла встреча с руководителем отдела кадров отелей Rixos в Турции г-ном Тимуджином Дишем. В ходе встречи были обсуждены вопросы развития программы двойного диплома в образовательной программе «Ресторанный и гостиничный бизнес», а также сотрудничества с турецким университетом «Antalya Bilim University». В рамках этого проекта планируется предоставить возможность 200 одаренным студентам из Казахстана бесплатно учиться в Турции. Программа профинансирует отель Rixos.	1616762514
2537220226047684306_6323132732	2	0	138	igtv	«19 марта в Есеновском университете открылся Центр« Путь мудрости ». Центр открылся в рамках проекта региональной антикоррупционной службы «Площадь противодействия коррупции». Предлагаем вашему вниманию видео с этого мероприятия! ————— 📌 19 марта в Есеновском университете состоялось торжественное открытие центра «Парасат жолы». Центр открылся в рамках проекта региональной антикоррупционной службы «Площадь честности». Представляем вашему вниманию видео с этого события!	1616680286
2536568240469062559_6323132732	8	4	331	carousel_container	КеАльке Лаура Жаксылыковна, студентка 1 курса Есеновского университета, факультет бизнеса и права, победитель проекта «Медаль Президента». За 6 месяцев он участвовал в проекте по семи направлениям и завоевал бронзовую медаль. Медаль Президента - единственная национальная программа, направленная на комплексное развитие молодежи. 11 марта партия «Нур Отан» наградила участвующих молодых людей. Программа состоит из 7 основных направлений: спорт, таланты и навыки, чтение, национальное наследие, волонтерство, экспедиции и кампании, производственная практика. Поздравляем Лауру с наградой! Мы уверены, что в будущем он покорит самые высокие вершины. ————— 📌Студентка 1 курса факультета бизнеса и права Есеновского университета, обладательница Медали Президента Алке Лаура Жаксылыковна. В возрасте 6 месяцев она участвовала в проекте по семи направлениям и стала обладательницей бронзовой медали. «Медаль Президента» - единственная программа национального уровня, направленная на всестороннее развитие молодежи. 11 марта партия «Нур Отан» наградила присутствующих молодых людей. Программа состоит из 7 основных направлений: спорт, таланты и навыки, чтение книг, национальное наследие, волонтерство, экспедиции и походы, трудовая практика. Поздравляем Лауру с наградой! Мы уверены, что в будущем она покорит высокие вершины.	1616602520
