

я бы	created_time	post_text	сказка	comment_id	comment_text	comment_created_time
13	1849247698620787_2867838203428393	2021-04-13T05: 52: 32 + 0000	1 апреля в Есеновском университете прошла встреча со студентами о роли семьи в формировании антикоррупционной культуры. Об этом сообщил член президиума организации Аллаберген Конарбаев, сотрудник информационно-просветительского штаба Мангистауской области. что семейное воспитание играет важную роль в борьбе с коррупцией. Студент, принявший участие в мероприятии, задавал вопросы и получил плодотворные ответы. В апреле в Есеновском университете прошла встреча с молодежью на тему роли семьи в формировании антикоррупционной культуры перед лицом личного вторжения. президиум организации Парасат Аллаберген Конарбаев, который рассказал о важности семейного воспитания в борьбе с коррупцией, а также дал советы молодым людям, прошедшим обучение в молодежной среде. , кто принял участие в мероприятии задала ей интересные вопросы и получила исчерпывающие ответы	Университет Есенова теперь здесь: Университет Есенова.	2867838203428393_2867910846754462	Большое спасибо руководству вуза.	2021-04-13T07: 48: 54 + 0000
18	1849247698620787_2863965843815629	2021-04-08T11: 58: 57 + 0000	В апреле в формате открытого диалога прошла встреча преподавателей и студентов инженерного факультета Есеновского университета с ветеранами региона, в ходе которой студенты задавали вопросы и получали развернутые ответы, а в некоторых случаях получали советы и пожелания. Ветеран труда Кумыскалиев, ветеран медицины Турарбеков, ветеран нефтяников Сагындыков, Бижанов, Кожиков поделились воспоминаниями о многолетнем труде и любимой профессии.В конце встречи высокие гости поблагодарили организаторов и участников за внимание к мероприятию. людей в авангарде развития нашего региона.В апреле в Есеновском университете прошла встреча ППС и студентов инженерного факультета с ветеранами нашего региона. Мероприятие прошло в формате открытого диалога, в рамках которого студенты смогли задать интересные вопросы и получить ь на них развернутые ответы, а в отдельных случаях советы и косвенные слова нефтяники геолог Крымкулов с е, ветеран труда Кумискалиев е к, ветеран медицины турарбеков б т, ветераны нефтяников сагындыков о с, бижанов с а, кожиков б многопыятния о доле и любимой профессии почетные гости встречи поблагодарили организаторов и участников встречи за внимание к тем людям, которые стояли у истоков развития нашего региона.	NotAddedInfo	2863965843815629_2864106293801584	встреча прошла очень интересно и познавательно благодарим организаторов, гостей и участников	2021-04-08T15: 51: 55 + 0000
19	1849247698620787_2863261827219364	2021-04-07T11: 12: 04 + 0000	Коллектив есеновского университета выражает соболезнования в связи с кончиной матери президента университета Ахметова Берик Бакытжанович Ахметова Санзира Тынымбаевна.Мамы - особое место, пусть всегда будет с вами материнское тепло, пусть вера покойного будет здоровой. «Да будет земля клеткой, пусть вечный дом будет молодым», Есеновский университет выражает глубокую скорбь в связи со смертью матери президента Ахметовой Берики Бакытжанович Ахметовой Сансиры Тынымбаева, матери не всегда хватит, а вам не будет хватит ее земля будет пушистой, и она приживется с миром	NotAddedInfo	2863261827219364_2863282727217274	Будь верующим	2021-04-07T11: 57: 50 + 0000
20	1849247698620787_2863261827219364	2021-04-07T11: 12: 04 + 0000	Коллектив есеновского университета выражает соболезнования в связи с кончиной матери президента университета Ахметова Берик Бакытжанович Ахметова Санзира Тынымбаевна.Мамы - особое место, пусть всегда будет с вами материнское тепло, пусть вера покойного будет здоровой. «Да будет земля клеткой, пусть вечный дом будет молодым», Есеновский университет выражает глубокую скорбь в связи со смертью матери президента Ахметовой Берики Бакытжанович Ахметовой Сансиры Тынымбаева, матери не всегда хватит, а вам не будет хватит ее земля будет пушистой, и она приживется с миром	NotAddedInfo	2863261827219364_2864341230444757	Берик Бакытжанович, да будет здорова вера вашей матери, пусть ее невосполнимая смерть, конечно, дай Бог терпения	2021-04-08T21: 45: 57 + 0000
21 год	1849247698620787_2863261827219364	2021-04-07T11: 12: 04 + 0000	Коллектив есеновского университета выражает соболезнования в связи с кончиной матери президента университета Ахметова Берик Бакытжанович Ахметова Санзира Тынымбаевна.Мамы - особое место, пусть всегда будет с вами материнское тепло, пусть вера покойного будет здоровой. «Да будет земля клеткой, пусть вечный дом будет молодым», Есеновский университет выражает глубокую скорбь в связи со смертью матери президента Ахметовой Берики Бакытжанович Ахметовой Сансиры Тынымбаева, матери не всегда хватит, а вам не будет хватит ее земля будет пушистой, и она приживется с миром	NotAddedInfo	2863261827219364_2863484450530435	быть верующим	2021-04-07T17: 41: 09 + 0000
22	1849247698620787_2863261827219364	2021-04-07T11: 12: 04 + 0000	Коллектив есеновского университета выражает соболезнования в связи с кончиной матери президента университета Ахметова Берик Бакытжанович Ахметова Санзира Тынымбаевна.Мамы - особое место, пусть всегда будет с вами материнское тепло, пусть вера покойного будет здоровой. «Да будет земля клеткой, пусть вечный дом будет молодым», Есеновский университет выражает глубокую скорбь в связи со смертью матери президента Ахметовой Берики Бакытжанович Ахметовой Сансиры Тынымбаева, матери не всегда хватит, а вам не будет хватит ее земля будет пушистой, и она приживется с миром	NotAddedInfo	2863261827219364_2863659650512915	Берик Бахытжанович, прими искренние пожелания света, пусть память верующего	2021-04-08T00: 08: 43 + 0000
23	1849247698620787_2863261827219364	2021-04-07T11: 12: 04 + 0000	Коллектив есеновского университета выражает соболезнования в связи с кончиной матери президента университета Ахметова Берик Бакытжанович Ахметова Санзира Тынымбаевна.Мамы - особое место, пусть всегда будет с вами материнское тепло, пусть вера покойного будет здоровой. «Да будет земля клеткой, пусть вечный дом будет молодым», Есеновский университет выражает глубокую скорбь в связи со смертью матери президента Ахметовой Берики Бакытжанович Ахметовой Сансиры Тынымбаева, матери не всегда хватит, а вам не будет хватит ее земля будет пушистой, и она приживется с миром	NotAddedInfo	2863261827219364_2863367903875423	Берик Бахытжанович, бессмертие матери, родившей такого лидера, как вы, вредит всем в сфере образования, я разделяю ваше горе, да пребудет душа нашей матери на небесах, пусть ее вера будет ее спутницей	2021-04-07T13: 58: 31 + 0000
24	1849247698620787_2863261827219364	2021-04-07T11: 12: 04 + 0000	Коллектив есеновского университета выражает соболезнования в связи с кончиной матери президента университета Ахметова Берик Бакытжанович Ахметова Санзира Тынымбаевна.Мамы - особое место, пусть всегда будет с вами материнское тепло, пусть вера покойного будет здоровой. «Да будет земля клеткой, пусть вечный дом будет молодым», Есеновский университет выражает глубокую скорбь в связи со смертью матери президента Ахметовой Берики Бакытжанович Ахметовой Сансиры Тынымбаева, матери не всегда хватит, а вам не будет хватит ее земля будет пушистой, и она приживется с миром	NotAddedInfo	2863261827219364_2863486343863579	пусть у верующего будет светлая память	2021-04-07T17: 43: 58 + 0000
25	1849247698620787_2863261827219364	2021-04-07T11: 12: 04 + 0000	Коллектив есеновского университета выражает соболезнования в связи с кончиной матери президента университета Ахметова Берик Бакытжанович Ахметова Санзира Тынымбаевна.Мамы - особое место, пусть всегда будет с вами материнское тепло, пусть вера покойного будет здоровой. «Да будет земля клеткой, пусть вечный дом будет молодым», Есеновский университет выражает глубокую скорбь в связи со смертью матери президента Ахметовой Берики Бакытжанович Ахметовой Сансиры Тынымбаева, матери не всегда хватит, а вам не будет хватит ее земля будет пушистой, и она приживется с миром	NotAddedInfo	2863261827219364_2863526327192914	быть верующим	2021-04-07T19: 06: 20 + 0000
26 год	1849247698620787_2863261827219364	2021-04-07T11: 12: 04 + 0000	Коллектив есеновского университета выражает соболезнования в связи с кончиной матери президента университета Ахметова Берик Бакытжанович Ахметова Санзира Тынымбаевна.Мамы - особое место, пусть всегда будет с вами материнское тепло, пусть вера покойного будет здоровой. «Да будет земля клеткой, пусть вечный дом будет молодым», Есеновский университет выражает глубокую скорбь в связи со смертью матери президента Ахметовой Берики Бакытжанович Ахметовой Сансиры Тынымбаева, матери не всегда хватит, а вам не будет хватит ее земля будет пушистой, и она приживется с миром	NotAddedInfo	2863261827219364_2863823973829816	Пусть он даст богатство веры	2021-04-08T06: 46: 27 + 0000
27	1849247698620787_2863261827219364	2021-04-07T11: 12: 04 + 0000	Коллектив есеновского университета выражает соболезнования в связи с кончиной матери президента университета Ахметова Берик Бакытжанович Ахметова Санзира Тынымбаевна.Мамы - особое место, пусть всегда будет с вами материнское тепло, пусть вера покойного будет здоровой. «Да будет земля клеткой, пусть вечный дом будет молодым», Есеновский университет выражает глубокую скорбь в связи со смертью матери президента Ахметовой Берики Бакытжанович Ахметовой Сансиры Тынымбаева, матери не всегда хватит, а вам не будет хватит ее земля будет пушистой, и она приживется с миром	NotAddedInfo	2863261827219364_2863297990549081	берик бахытжанович, прими трагическую утрату близкого человека, всегда трудно быть верующим	2021-04-07T12: 30: 35 + 0000
28 год	1849247698620787_2863261827219364	2021-04-07T11: 12: 04 + 0000	Коллектив есеновского университета выражает соболезнования в связи с кончиной матери президента университета Ахметова Берик Бакытжанович Ахметова Санзира Тынымбаевна.Мамы - особое место, пусть всегда будет с вами материнское тепло, пусть вера покойного будет здоровой. «Да будет земля клеткой, пусть вечный дом будет молодым», Есеновский университет выражает глубокую скорбь в связи со смертью матери президента Ахметовой Берики Бакытжанович Ахметовой Сансиры Тынымбаева, матери не всегда хватит, а вам не будет хватит ее земля будет пушистой, и она приживется с миром	NotAddedInfo	2863261827219364_2863282227217324	быть верующим	2021-04-07T11: 56: 36 + 0000
29	1849247698620787_2863261827219364	2021-04-07T11: 12: 04 + 0000	Коллектив есеновского университета выражает соболезнования в связи с кончиной матери президента университета Ахметова Берик Бакытжанович Ахметова Санзира Тынымбаевна.Мамы - особое место, пусть всегда будет с вами материнское тепло, пусть вера покойного будет здоровой. «Да будет земля клеткой, пусть вечный дом будет молодым», Есеновский университет выражает глубокую скорбь в связи со смертью матери президента Ахметовой Берики Бакытжанович Ахметовой Сансиры Тынымбаева, матери не всегда хватит, а вам не будет хватит ее земля будет пушистой, и она приживется с миром	NotAddedInfo	2863261827219364_2863422323869981	быть верующим	2021-04-07T15: 44: 55 + 0000
30	1849247698620787_2863261827219364	2021-04-07T11: 12: 04 + 0000	Коллектив есеновского университета выражает соболезнования в связи с кончиной матери президента университета Ахметова Берик Бакытжанович Ахметова Санзира Тынымбаевна.Мамы - особое место, пусть всегда будет с вами материнское тепло, пусть вера покойного будет здоровой. «Да будет земля клеткой, пусть вечный дом будет молодым», Есеновский университет выражает глубокую скорбь в связи со смертью матери президента Ахметовой Берики Бакытжанович Ахметовой Сансиры Тынымбаева, матери не всегда хватит, а вам не будет хватит ее земля будет пушистой, и она приживется с миром	NotAddedInfo	2863261827219364_2863353310543549	быть верующим	2021-04-07T13: 40: 36 + 0000
31 год	1849247698620787_2863261827219364	2021-04-07T11: 12: 04 + 0000	Коллектив есеновского университета выражает соболезнования в связи с кончиной матери президента университета Ахметова Берик Бакытжанович Ахметова Санзира Тынымбаевна.Мамы - особое место, пусть всегда будет с вами материнское тепло, пусть вера покойного будет здоровой. «Да будет земля клеткой, пусть вечный дом будет молодым», Есеновский университет выражает глубокую скорбь в связи со смертью матери президента Ахметовой Берики Бакытжанович Ахметовой Сансиры Тынымбаева, матери не всегда хватит, а вам не будет хватит ее земля будет пушистой, и она приживется с миром	NotAddedInfo	2863261827219364_2863368117208735	быть верующим	2021-04-07T13: 58: 50 + 0000
32	1849247698620787_2863261827219364	2021-04-07T11: 12: 04 + 0000	Коллектив есеновского университета выражает соболезнования в связи с кончиной матери президента университета Ахметова Берик Бакытжанович Ахметова Санзира Тынымбаевна.Мамы - особое место, пусть всегда будет с вами материнское тепло, пусть вера покойного будет здоровой. «Да будет земля клеткой, пусть вечный дом будет молодым», Есеновский университет выражает глубокую скорбь в связи со смертью матери президента Ахметовой Берики Бакытжанович Ахметовой Сансиры Тынымбаева, матери не всегда хватит, а вам не будет хватит ее земля будет пушистой, и она приживется с миром	NotAddedInfo	2863261827219364_2863336843878529	Да здравствует вера твоей матери	2021-04-07T13: 19: 43 + 0000
33	1849247698620787_2863261827219364	2021-04-07T11: 12: 04 + 0000	Коллектив есеновского университета выражает соболезнования в связи с кончиной матери президента университета Ахметова Берик Бакытжанович Ахметова Санзира Тынымбаевна.Мамы - особое место, пусть всегда будет с вами материнское тепло, пусть вера покойного будет здоровой. «Да будет земля клеткой, пусть вечный дом будет молодым», Есеновский университет выражает глубокую скорбь в связи со смертью матери президента Ахметовой Берики Бакытжанович Ахметовой Сансиры Тынымбаева, матери не всегда хватит, а вам не будет хватит ее земля будет пушистой, и она приживется с миром	NotAddedInfo	2863261827219364_2863341453878068	Можем ли мы разделить ваши печали, пусть вы верите, можете ли вы помиловать свою благородную мать	2021-04-07T13: 25: 25 + 0000
34	1849247698620787_2863261827219364	2021-04-07T11: 12: 04 + 0000	Коллектив есеновского университета выражает соболезнования в связи с кончиной матери президента университета Ахметова Берик Бакытжанович Ахметова Санзира Тынымбаевна.Мамы - особое место, пусть всегда будет с вами материнское тепло, пусть вера покойного будет здоровой. «Да будет земля клеткой, пусть вечный дом будет молодым», Есеновский университет выражает глубокую скорбь в связи со смертью матери президента Ахметовой Берики Бакытжанович Ахметовой Сансиры Тынымбаева, матери не всегда хватит, а вам не будет хватит ее земля будет пушистой, и она приживется с миром	NotAddedInfo	2863261827219364_2863431330535747	Пусть у матери есть вера	2021-04-07T16: 02: 33 + 0000
35 год	1849247698620787_2863261827219364	2021-04-07T11: 12: 04 + 0000	Коллектив есеновского университета выражает соболезнования в связи с кончиной матери президента университета Ахметова Берик Бакытжанович Ахметова Санзира Тынымбаевна.Мамы - особое место, пусть всегда будет с вами материнское тепло, пусть вера покойного будет здоровой. «Да будет земля клеткой, пусть вечный дом будет молодым», Есеновский университет выражает глубокую скорбь в связи со смертью матери президента Ахметовой Берики Бакытжанович Ахметовой Сансиры Тынымбаева, матери не всегда хватит, а вам не будет хватит ее земля будет пушистой, и она приживется с миром	NotAddedInfo	2863261827219364_2863695423842671	Да будет вера здоровой, и я разделяю невосполнимую скорбь	2021-04-08T01: 25: 16 + 0000
36	1849247698620787_2863261827219364	2021-04-07T11: 12: 04 + 0000	Коллектив есеновского университета выражает соболезнования в связи с кончиной матери президента университета Ахметова Берик Бакытжанович Ахметова Санзира Тынымбаевна.Мамы - особое место, пусть всегда будет с вами материнское тепло, пусть вера покойного будет здоровой. «Да будет земля клеткой, пусть вечный дом будет молодым», Есеновский университет выражает глубокую скорбь в связи со смертью матери президента Ахметовой Берики Бакытжанович Ахметовой Сансиры Тынымбаева, матери не всегда хватит, а вам не будет хватит ее земля будет пушистой, и она приживется с миром	NotAddedInfo	2863261827219364_2863285230550357	быть верующим	2021-04-07T12: 03: 02 + 0000
37	1849247698620787_2863261827219364	2021-04-07T11: 12: 04 + 0000	Коллектив есеновского университета выражает соболезнования в связи с кончиной матери президента университета Ахметова Берик Бакытжанович Ахметова Санзира Тынымбаевна.Мамы - особое место, пусть всегда будет с вами материнское тепло, пусть вера покойного будет здоровой. «Да будет земля клеткой, пусть вечный дом будет молодым», Есеновский университет выражает глубокую скорбь в связи со смертью матери президента Ахметовой Берики Бакытжанович Ахметовой Сансиры Тынымбаева, матери не всегда хватит, а вам не будет хватит ее земля будет пушистой, и она приживется с миром	NotAddedInfo	2863261827219364_2863326373879576	Будьте верны и будьте добры	2021-04-07T13: 05: 05 + 0000
38	1849247698620787_2863261827219364	2021-04-07T11: 12: 04 + 0000	Коллектив есеновского университета выражает соболезнования в связи с кончиной матери президента университета Ахметова Берик Бакытжанович Ахметова Санзира Тынымбаевна.Мамы - особое место, пусть всегда будет с вами материнское тепло, пусть вера покойного будет здоровой. «Да будет земля клеткой, пусть вечный дом будет молодым», Есеновский университет выражает глубокую скорбь в связи со смертью матери президента Ахметовой Берики Бакытжанович Ахметовой Сансиры Тынымбаева, матери не всегда хватит, а вам не будет хватит ее земля будет пушистой, и она приживется с миром	NotAddedInfo	2863261827219364_2863277267217820	Пусть у него будет вера и его душа будет в раю	2021-04-07T11: 46: 23 + 0000
39	1849247698620787_2863261827219364	2021-04-07T11: 12: 04 + 0000	Коллектив есеновского университета выражает соболезнования в связи с кончиной матери президента университета Ахметова Берик Бакытжанович Ахметова Санзира Тынымбаевна.Мамы - особое место, пусть всегда будет с вами материнское тепло, пусть вера покойного будет здоровой. «Да будет земля клеткой, пусть вечный дом будет молодым», Есеновский университет выражает глубокую скорбь в связи со смертью матери президента Ахметовой Берики Бакытжанович Ахметовой Сансиры Тынымбаева, матери не всегда хватит, а вам не будет хватит ее земля будет пушистой, и она приживется с миром	NotAddedInfo	2863261827219364_2863300320548848	быть верующим	2021-04-07T12: 34: 55 + 0000
40	1849247698620787_2863261827219364	2021-04-07T11: 12: 04 + 0000	Коллектив есеновского университета выражает соболезнования в связи с кончиной матери президента университета Ахметова Берик Бакытжанович Ахметова Санзира Тынымбаевна.Мамы - особое место, пусть всегда будет с вами материнское тепло, пусть вера покойного будет здоровой. «Да будет земля клеткой, пусть вечный дом будет молодым», Есеновский университет выражает глубокую скорбь в связи со смертью матери президента Ахметовой Берики Бакытжанович Ахметовой Сансиры Тынымбаева, матери не всегда хватит, а вам не будет хватит ее земля будет пушистой, и она приживется с миром	NotAddedInfo	2863261827219364_2863433760535504	быть верующим	2021-04-07T16: 07: 19 + 0000
41 год	1849247698620787_2863261827219364	2021-04-07T11: 12: 04 + 0000	Коллектив есеновского университета выражает соболезнования в связи с кончиной матери президента университета Ахметова Берик Бакытжанович Ахметова Санзира Тынымбаевна.Мамы - особое место, пусть всегда будет с вами материнское тепло, пусть вера покойного будет здоровой. «Да будет земля клеткой, пусть вечный дом будет молодым», Есеновский университет выражает глубокую скорбь в связи со смертью матери президента Ахметовой Берики Бакытжанович Ахметовой Сансиры Тынымбаева, матери не всегда хватит, а вам не будет хватит ее земля будет пушистой, и она приживется с миром	NotAddedInfo	2863261827219364_2863460617199485	Потеря мамы Берик Бакытжанович - большая трагедия для вас. Мы знаем, что ваша мама - человек, посвятивший свою жизнь семье, образованию, науке, обучивший и воспитавший подрастающее поколение. воспитал и образовал таких великих людей, как ты. Честь хорошего отца, честь святой матери, честь хорошей семьи, смерть хорошей матери, будут только хорошие дни, выражаю вам свои соболезнования , расскажу вам о местонахождении вашей матери, почве в клетке, подарке вина ее семье	2021-04-07T16: 51: 41 + 0000
